comments;description;duration;event;main_speaker;occupation;title
84;"Jimmy Wales recalls how he assembled ""a ragtag band of volunteers,"" gave them tools for collaborating and created Wikipedia, the self-organizing, self-correcting, never-finished online encyclopedia.";1201;TEDGlobal 2005;Jimmy Wales;Founder of Wikipedia;The birth of Wikipedia
108;In 2006, open-learning visionary Richard Baraniuk explains the vision behind Connexions (now called OpenStax), an open-source, online education system. It cuts out the textbook, allowing teachers to share and modify course materials freely, anywhere in the world.;1114;TED2006;Richard Baraniuk;Education visionary;The birth of the open-source learning revolution
185;Performer and web toymaker Ze Frank delivers a hilarious nerdcore standup routine, then tells us what he's seriously passionate about: helping people create and interact using simple, addictive web tools.;1136;TED2004;Ze Frank;Humorist, web artist;Nerdcore comedy
50;The founding mother of the blog revolution, Movable Type's Mena Trott, talks about the early days of blogging, when she realized that giving regular people the power to share our lives online is the key to building a friendlier, more connected world.;1006;TED2006;Mena Trott;"Blogger; cofounder, Six Apart";Meet the founder of the blog revolution
556;Anthropologist Helen Fisher takes on a tricky topic вЂ“ love вЂ“ and explains its evolution, its biochemical foundations and its social importance. She closes with a warning about the potential disaster inherent in antidepressant abuse.;1407;TED2006;Helen Fisher;Anthropologist, expert on love;Why we love, why we cheat
117;"Eve Ensler, creator of ""The Vagina Monologues,"" shares how a discussion about menopause with her friends led to talking about all sorts of sexual acts onstage, waging a global campaign to end violence toward women and finding her own happiness.";1225;TED2004;Eve Ensler;Playwright, activist;Happiness in body and soul
184;Legendary scientist David Deutsch puts theoretical physics on the back burner to discuss a more urgent matter: the survival of our species. The first step toward solving global warming, he says, is to admit that we have a problem.;1140;TEDGlobal 2005;David Deutsch;Quantum physicist;Chemical scum that dream of distant quasars
507;"Biologist Richard Dawkins makes a case for ""thinking the improbable"" by looking at how the human frame of reference limits our understanding of the universe.";1316;TEDGlobal 2005;Richard Dawkins;Evolutionary biologist;Why the universe seems so strange
95;"""Freakonomics"" author Steven Levitt presents new data on the finances of drug dealing. Contrary to popular myth, he says, being a street-corner crack dealer isn't lucrative: It pays below minimum wage. And your boss can kill you.";1275;TED2004;Steven Levitt;Economist;The freakonomics of crack dealing
355;"""Tipping Point"" author Malcolm Gladwell gets inside the food industry's pursuit of the perfect spaghetti sauce -- and makes a larger argument about the nature of choice and happiness.";1050;TED2004;Malcolm Gladwell;Writer;Choice, happiness and spaghetti sauce
970;"Dan Gilbert, author of ""Stumbling on Happiness,"" challenges the idea that weвЂ™ll be miserable if we donвЂ™t get what we want. Our ""psychological immune system"" lets us feel truly happy even when things donвЂ™t go as planned.";1276;TED2004;Dan Gilbert;Psychologist;['TED Brain Trust', 'brain', 'choice', 'culture', 'evolution', 'happiness', 'psychology', 'science']
991;Psychologist Barry Schwartz takes aim at a central tenet of western societies: freedom of choice. In Schwartz's estimation, choice has made us not freer but more paralyzed, not happier but more dissatisfied.;1177;TEDGlobal 2005;Barry Schwartz;Psychologist;The paradox of choice
213;Eva Vertes -- only 19 when she gave this talk -- discusses her journey toward studying medicine and her drive to understand the roots of cancer and AlzheimerвЂ™s.;1129;TED2005;Eva Vertes;Neuroscience and cancer researcher;Meet the future of cancer research
612;Cambridge researcher Aubrey de Grey argues that aging is merely a disease -- and a curable one at that. Humans age in seven basic ways, he says, all of which can be averted.;1365;TEDGlobal 2005;Aubrey de Grey;Crusader against aging;A roadmap to end aging
74;Iqbal Quadir tells how his experiences as a kid in poor Bangladesh, and later as a banker in New York, led him to start a mobile phone operator connecting 80 million rural Bangladeshi -- and to become a champion of bottom-up development.;952;TEDGlobal 2005;Iqbal Quadir;Founder, GrameenPhone;How mobile phones can fight poverty
58;Jacqueline Novogratz applauds the world's heightened interest in Africa and poverty, but argues persuasively for a new approach.;773;TEDGlobal 2005;Jacqueline Novogratz;Investor and advocate for moral leadership;Invest in Africa's own solutions
43;"A free press -- papers, magazines, radio, TV, blogs -- is the backbone of any true democracy (and a vital watchdog on business). Sasa Vucinic, a journalist from Belgrade, talks about his new fund, which supports media by selling ""free press bonds.""";1080;TEDGlobal 2005;Sasa Vucinic;Nonprofit venture capitalist;Why we should invest in a free press
67;Ashraf Ghani's passionate and powerful 10-minute talk, emphasizing the necessity of both economic investment and design ingenuity to rebuild broken states, is followed by a conversation with TED curator Chris Anderson on the future of Afghanistan.;1125;TEDGlobal 2005;Ashraf Ghani;President-elect of Afghanistan;How to rebuild a broken state
186;In this passionate talk, legendary spacecraft designer Burt Rutan lambasts the US government-funded space program for stagnating and asks entrepreneurs to pick up where NASA has left off.;1177;TED2006;Burt Rutan;Aircraft engineer;The real future of space exploration
57;Arctic explorer Ben Saunders recounts his harrowing solo ski trek to the North Pole, complete with engaging anecdotes, gorgeous photos and never-before-seen video.;1083;TED2005;Ben Saunders;Arctic explorer;Why did I ski to the North Pole?
112;"Musician and activist Bono accepts the 2005 TED Prize with a riveting talk, arguing that aid to Africa isn't just another celebrity cause; it's a global emergency.";1672;TED2005;Bono;Musician, activist;My wish: Three actions for Africa
58;Accepting his 2005 TED Prize, photographer Edward Burtynsky makes a wish: that his images -- stunning landscapes that document humanity's impact on the world -- help persuade millions to join a global conversation on sustainability.;2065;TED2005;Edward Burtynsky;Photographer;My wish: Manufactured landscapes and green education
33;Accepting his 2005 TED Prize, inventor Robert Fischell makes three wishes: redesigning a portable device that treats migraines, finding new cures for clinical depression and reforming the medical malpractice system.;1609;TED2005;Robert Fischell;Biomedical inventor;My wish: Three unusual medical inventions
105;Oxford mathematician Peter Donnelly reveals the common mistakes humans make in interpreting statistics -- and the devastating impact these errors can have on the outcome of criminal trials.;1280;TEDGlobal 2005;Peter Donnelly;Mathematician;['culture', 'genetics', 'science', 'statistics', 'technology']
494;"Why do people see the Virgin Mary on a cheese sandwich or hear demonic lyrics in ""Stairway to Heaven""? Using video and music, skeptic Michael Shermer shows how we convince ourselves to believe -- and overlook the facts.";805;TED2006;Michael Shermer;Skeptic;Why people believe weird things
233;Inventor, entrepreneur and visionary Ray Kurzweil explains in abundant, grounded detail why, by the 2020s, we will have reverse-engineered the human brain and nanobots will be operating your consciousness.;1376;TED2005;Ray Kurzweil;Inventor, futurist;The accelerating power of technology
149;"Tech enthusiast Kevin Kelly asks ""What does technology want?"" and discovers that its movement toward ubiquity and complexity is much like the evolution of life.";1200;TED2005;Kevin Kelly;Digital visionary;How technology evolves
52;Musician and activist Peter Gabriel shares his very personal motivation for standing up for human rights with the watchdog group WITNESS -- and tells stories of citizen journalists in action.;848;TED2006;Peter Gabriel;Musician, activist;Fight injustice with raw video
578;Why do people succeed? Is it because they're smart? Or are they just lucky? Neither. Analyst Richard St. John condenses years of interviews into an unmissable 3-minute slideshow on the real secrets of success.;210;TED2005;Richard St. John;Marketer, success analyst;8 secrets of success
95;How many poets could cram eBay, Friendster and Monster.com into 3-minute poem worthy of a standing ovation? Enjoy Rives' unique talent.;247;TEDSalon 2006;Rives;Performance poet, multimedia artist;If I controlled the Internet
199;Forget the latest disease in the news: Cardiovascular disease kills more people than everything else combined -- and itвЂ™s mostly preventable. Dr. Dean Ornish explains how changing our eating habits can save lives.;198;TED2006;Dean Ornish;Physician, author;The killer American diet that's sweeping the planet
85;"Robert Neuwirth, author of ""Shadow Cities,"" finds the world's squatter sites -- where a billion people now make their homes -- to be thriving centers of ingenuity and innovation. He takes us on a tour.";843;TEDGlobal 2005;Robert Neuwirth;Author;The hidden world of shadow cities
499;Given $50 billion to spend, which would you solve first, AIDS or global warming? Danish political scientist Bjorn Lomborg comes up with surprising answers.;1001;TED2005;Bjorn Lomborg;Global prioritizer;Global priorities bigger than climate change
371;With stunning photos and stories, National Geographic Explorer Wade Davis celebrates the extraordinary diversity of the world's indigenous cultures, which are disappearing from the planet at an alarming rate.;1321;TED2003;Wade Davis;Anthropologist, ethnobotanist;Dreams from endangered cultures
59;Photographer Phil Borges shows rarely seen images of people from the mountains of Dharamsala, India, and the jungles of the Ecuadorean Amazon. In documenting these endangered cultures, he intends to help preserve them.;1115;TED2006;Phil Borges;Photographer;Photos of endangered cultures
203;"Speaking as both an astronomer and ""a concerned member of the human race,"" Sir Martin Rees examines our planet and its future from a cosmic perspective. He urges action to prevent dark consequences from our scientific and technological development.";1046;TEDGlobal 2005;Martin Rees;Astrophysicist;Is this our final century?
130;"Author Robert Wright explains ""non-zero-sumness"" -- the network of linked fortunes and cooperation that has guided our evolution to this point -- and how we can use it to help save humanity today.";1151;TED2006;Robert Wright;Journalist, philosopher;Progress is not a zero-sum game
47;Author Steven Johnson takes us on a 10-minute tour of <i>The Ghost Map</i>, his book about a cholera outbreak in 1854 London and the impact it had on science, cities and modern society.;603;TEDSalon 2006;Steven Johnson;Writer;"How the ""ghost map"" helped end a killer disease"
91;In this deceptively casual talk, Charles Leadbeater weaves a tight argument  that innovation isn't just for professionals anymore. Passionate amateurs, using new tools, are creating products and paradigms that companies can't.;1141;TEDGlobal 2005;Charles Leadbeater;Innovation consultant;The era of open innovation
222;"Two Pilobolus dancers perform ""Symbiosis."" Does it trace the birth of a relationship? Or the co-evolution of symbiotic species? Music: ""God Music,"" George Crumb; ""Fratres,"" Arvo Part; ""Morango...Almost a Tango,"" Thomas Oboe Lee.";825;TED2005;Pilobolus;Dance company;"A dance of ""Symbiosis"""
111;"Writer and actor Anna Deavere Smith gives life to author Studs Terkel, convict Paulette Jenkins, a Korean shopkeeper and a bull rider, excerpts from her solo show ""On the Road: A Search for American Character.""";1385;TED2005;Anna Deavere Smith;Actor, playwright, social critic;Four American characters
28;"Inventor and MacArthur fellow Saul Griffith shares some innovative ideas from his lab -- from ""smart rope"" to a house-sized kite for towing large loads.";869;TED2006;Saul Griffith;Inventor;Everyday inventions
64;MIT professor Neil Gershenfeld talks about his Fab Lab -- a low-cost lab that lets people build things they need using digital and analog tools. It's a simple idea with powerful results.;1038;TED2006;Neil Gershenfeld;Physicist, personal fab pioneer;Unleash your creativity in a Fab Lab
226;Journalist Carl Honore believes the Western world's emphasis on speed erodes health, productivity and quality of life. But there's a backlash brewing, as everyday people start putting the brakes on their all-too-modern lives.;1155;TEDGlobal 2005;Carl HonorГ©;Journalist;In praise of slowness
97;Accepting the 2007 TED Prize, Bill Clinton asks for help in bringing health care to Rwanda -- and the rest of the world.;1447;TED2007;Bill Clinton;Activist;My wish: Rebuilding Rwanda
89;As E.O. Wilson accepts his 2007 TED Prize, he makes a plea on behalf of all creatures that we learn more about our biosphere -- and build a networked encyclopedia of all the world's knowledge about life.;1355;TED2007;E.O. Wilson;Biologist;My wish: Build the Encyclopedia of Life
107;Accepting his 2007 TED Prize, war photographer James Nachtwey shows his life's work and asks TED to help him continue telling the story with innovative, exciting uses of news photography in the digital era.;1316;TED2007;James Nachtwey;Photojournalist;My wish: Let my photographs bear witness
161;Jane Goodall hasn't found the missing link, but she's come closer than nearly anyone else. The primatologist says the only real difference between humans and chimps is our sophisticated language. She urges us to start using it to change the world.;1645;TED2002;Jane Goodall;Primatologist;['Africa', 'animals', 'culture', 'environment', 'global issues', 'nature', 'primates', 'science']
220;In a world of too many options and too little time, our obvious choice is to just ignore the ordinary stuff. Marketing guru Seth Godin spells out why, when it comes to getting our attention, bad or bizarre ideas are more successful than boring ones.;1021;TED2003;Seth Godin;Marketer and author;How to get your ideas to spread
114;Nobel laureate James Watson opens TED2005 with the frank and funny story of how he and his research partner, Francis Crick, discovered the structure of DNA.;1211;TED2005;James Watson;Biologist, Nobel laureate;How we discovered DNA
88;Al Seckel, a cognitive neuroscientist, explores the perceptual illusions that fool our brains. Loads of eye tricks help him prove that not only are we easily fooled, we kind of like it.;873;TED2004;Al Seckel;Master of visual illusions;Visual illusions that show how we (mis)think
130;Inventor Dean Kamen lays out his argument for the Segway and offers a peek into his next big ideas (portable energy and water purification for developing countries).;1207;TED2002;Dean Kamen;Inventor;To invent is to give
49;Scientific discoveries, futurist Juan Enriquez notes, demand a shift in code, and our ability to thrive depends on our mastery of that code. Here, he applies this notion to the field of genomics.;1340;TED2003;Juan Enriquez;Futurist;The life code that will reshape the future
86;Graphic designer Stefan Sagmeister takes the audience on a whimsical journey through moments of his life that made him happy -- and notes how many of these moments have to do with good design.;930;TED2004;Stefan Sagmeister;Graphic designer;Happiness by design
107;Worldchanging.com founder Alex Steffen argues that reducing humanityвЂ™s ecological footprint is incredibly vital now, as the western consumer lifestyle spreads to developing countries.;1054;TEDGlobal 2005;Alex Steffen;Planetary futurist;The route to a sustainable future
50;Architect Thom Mayne has never been one to take the easy option, and this whistle-stop tour of the buildings he's created makes you glad for it. These are big ideas cast in material form.;1240;TED2005;Thom Mayne;Architect;How architecture can connect us
78;American designer Chris Bangle explains his philosophy that car design is an art form in its own right, with an entertaining -- and ultimately moving -- account of the BMW Group's Deep Blue project, intended to create the SUV of the future.;1204;TED2002;Chris Bangle;Car designer;Great cars are great art
40;"Nora York gives a stunning performance of her song ""What I Want,"" with Jamie Lawrence (keyboards), Steve Tarshis (guitar) and Arthur Kell (bass).";276;TEDSalon 2006;Nora York;Singer, performance artist;"Singing ""What I Want"""
27;Showing a series of inspiring, unusual and playful products, British branding and design guru Paul Bennett explains that design doesn't have to be about grand gestures, but can solve small, universal and overlooked problems.;850;TEDGlobal 2005;Paul Bennett;"Designer; creative director, Ideo";Design is in the details
84;Vik Muniz makes art from pretty much anything, be it shredded paper, wire, clouds or diamonds. Here he describes the thinking behind his work and takes us on a tour of his incredible images.;891;TED2003;Vik Muniz;Artist;Art with wire, sugar, chocolate and string
131;Oxford philosopher and transhumanist Nick Bostrom examines the future of humankind and asks whether we might alter the fundamental nature of humanity to solve our most intrinsic problems.;1012;TEDGlobal 2005;Nick Bostrom;Philosopher;A philosophical quest for our biggest problems
127;In this inspiring talk about recent developments in biomimicry, Janine Benyus provides heartening examples of ways in which nature is already influencing the products and systems we build.;1399;TED2005;Janine Benyus;Science writer, innovation consultant, conservationist;Biomimicry's surprising lessons from nature's engineers
34;Genomics pioneer Craig Venter takes a break from his epic round-the-world expedition to talk about the millions of genes his team has discovered so far in its quest to map the ocean's biodiversity.;1011;TEDGlobal 2005;Craig Venter;Biologist, genetics pioneer;Sampling the ocean's DNA
47;Engineer and artist Golan Levin pushes the boundaries of what's possible with audiovisuals and technology. In an amazing TED display, he shows two programs he wrote to perform his original compositions.;893;TED2004;Golan Levin;Experimental audio-visual artist;Software (as) art
335;Savage-Rumbaugh's work with bonobo apes, which can understand spoken language and learn tasks by watching, forces the audience to rethink how much of what a species can do is determined by biology -- and how much by cultural exposure.;1045;TED2004;Susan Savage-Rumbaugh;Primate authority;The gentle genius of bonobos
143;In this stunning slideshow, celebrated nature photographer Frans Lanting presents The LIFE Project, a poetic collection of photographs that tell the story of our planet, from its eruptive beginnings to its present diversity. Soundtrack by Philip Glass.;977;TED2005;Frans Lanting;Nature photographer;The story of life in photographs
57;Biologist Sheila Patek talks about her work measuring the feeding strike of the mantis shrimp, one of the fastest movements in the animal world, using video cameras recording at 20,000 frames per second.;985;TED2004;Sheila Patek;Biologist, biomechanics researcher;The shrimp with a kick!
39;A happy song about global warming, from Jill Sobule.;163;TED2006;Jill Sobule;Singer/songwriter;"Global warming's theme song, ""Manhattan in January"""
34;"Caroline Lavelle plays the cello like a sorceress casting a spell, occasionally hiding behind her wild mane of blond hair as she sings of pastoral themes. She performs ""Farther than the Sun,"" backed by Thomas Dolby on keyboards.";459;TED2005;Caroline Lavelle;Cellist;['cello', 'entertainment', 'music', 'performance', 'vocals']
501;Philosopher Dan Dennett makes a compelling argument that not only don't we understand our own consciousness, but that half the time our brains are actively fooling us.;1308;TED2003;Dan Dennett;Philosopher, cognitive scientist;The illusion of consciousness
296;In this soaring demonstration, deaf percussionist Evelyn Glennie illustrates how listening to music involves much more than simply letting sound waves hit your eardrums.;1929;TED2003;Evelyn Glennie;Musician;How to truly listen
231;"Green-minded architect and designer William McDonough asks what our buildings and products would look like if designers took into account ""all children, all species, for all time.""";1205;TED2005;William McDonough;Architect;Cradle to cradle design
58;The dot-com boom and bust is often compared to the Gold Rush. But Amazon.com founder Jeff Bezos says itвЂ™s more like the early days of the electric industry.;1031;TED2003;Jeff Bezos;Online commerce pioneer;The electricity metaphor for the web's future
58;Rives recaps the most memorable moments of TED2006 in the free-spirited rhyming verse of a fantastical mockingbird lullaby.;251;TED2006;Rives;Performance poet, multimedia artist;A mockingbird remix of TED2006
75;"Singer/songwriter Eddi Reader performs ""Kiteflyer's Hill,"" a tender look back at a lost love. With Thomas Dolby on piano.";378;TED2003;Eddi Reader;Singer/songwriter;"""Kiteflyer's Hill"""
50;"Singer/songwriter Eddi Reader performs ""What You Do With What You've Got,"" a meditation on a very TED theme: how to use your gifts and talents to make a difference. With Thomas Dolby on piano.";312;TED2003;Eddi Reader;Singer/songwriter;"""What You've Got"""
588;"In the days following the tragic South Asian tsunami of 2004, the Rev. Tom Honey pondered the question, ""How could a loving God have done this?"" Here is his answer.";1172;TED2005;Tom Honey;Priest;Why would God create a tsunami?
6404;Richard Dawkins urges all atheists to openly state their position -- and to fight the incursion of the church into politics and science. A fiery, funny, powerful talk.;1750;TED2002;Richard Dawkins;Evolutionary biologist;Militant atheism
49;Satirist Tom Rielly delivers a wicked parody of the 2006 TED conference, taking down the $100 laptop, the plight of the polar bear, and people who mention, one too many times, that they work at Harvard. Watch for a special moment between Tom and Al Gore.;1195;TED2006;Tom Rielly;Satirist;A comic sendup of TED2006
39;"Featuring the vocals and mischievous bell-playing of accordionist and singer Rachelle Garniez, the TED House Band -- led by Thomas Dolby on keyboard -- delivers this delightful rendition of the Edith Piaf standard ""La Vie en Rose.""";201;TED2004;Rachelle Garniez;Musician;"""La Vie en Rose"""
42;Chris Anderson, then the editor of Wired, explores the four key stages of any viable technology: setting the right price, gaining market share, displacing an established technology and, finally, becoming ubiquitous.;858;TED2004;Chris Anderson;Drone maker;Technology's long tail
67;"Violinist Natalie MacMaster and TED Musical Director Thomas Dolby play Dolby's original song ""Blue Is a River"" in this ethereal duet -- with a little dancing.";311;TED2002;Natalie MacMaster;Fiddler;Cape Breton fiddling in reel time
56;Google co-founders Larry Page and Sergey Brin offer a peek inside the Google machine, sharing tidbits about international search patterns, the philanthropic Google Foundation, and the company's dedication to innovation and employee happiness.;1233;TED2004;Sergey Brin + Larry Page;Computer scientist, entrepreneur and philanthropist;The genesis of Google
72;What happens when a black man visits Aspen? Singer/songwriter Stew and his band are about to let you know.;277;TED2006;Stew;Singer/songwriter;"""Black Men Ski"""
328;In James Howard Kunstler's view, public spaces should be inspired centers of civic life and the physical manifestation of the common good. Instead, he argues, what we have in America is a nation of places not worth caring about.;1184;TED2004;James Howard Kunstler;Social critic;The ghastly tragedy of the suburbs
32;IDEO's David Kelley says that product design has become much less about the hardware and more about the user experience. He shows video of this new, broader approach, including footage from the Prada store in New York.;1020;TED2002;David Kelley;Designer, educator;Human-centered design
99;Rural villages worldwide are being deserted, as billions of people flock to cities to live in teeming squatter camps and slums. Stewart Brand says this is a good thing. Why? ItвЂ™ll take you 3 minutes to find out.;185;TED2006;Stewart Brand;Environmentalist, futurist;What squatter cities can teach us
230;Treo creator Jeff Hawkins urges us to take a new look at the brain -- to see it not as a fast processor, but as a memory system that stores and plays back experiences to help us predict, intelligently, what will happen next.;1211;TED2003;Jeff Hawkins;Computer designer, brain researcher;How brain science will change computing
87;Marine biologist Tierney Thys asks us to step into the water to visit the world of the Mola mola, or giant ocean sunfish. Basking, eating jellyfish and getting massages, this behemoth offers clues to life in the open sea.;1001;TED2003;Tierney Thys;Marine biologist;Swim with the giant sunfish
260;Blaise Aguera y Arcas leads a dazzling demo of Photosynth, software that could transform the way we look at digital images. Using still photos culled from the Web, Photosynth builds breathtaking dreamscapes and lets us navigate them.;450;TED2007;Blaise AgГјera y Arcas;Software architect;How PhotoSynth can connect the world's images
295;"""I don't think we're going to make it,"" John Doerr says in an emotional talk about climate change and investment. To create a world fit for his daughter to live in, he says, we need to invest now in clean, green energy.";1072;TED2007;John Doerr;Venture capitalist;Salvation (and profit) in greentech
127;We know the negative images of Africa -- famine and disease, conflict and corruption. But, says Ngozi Okonjo-Iweala, there's another, less-told story happening in many African nations: one of reform, economic growth and business opportunity.;1213;TED2007;Ngozi Okonjo-Iweala;Economist;Want to help Africa? Do business here
124;"Anand Agarawala presents BumpTop, a user interface that takes the usual desktop metaphor to a glorious, 3-D extreme, transforming file navigation into a freewheeling playground of crumpled documents and clipping-covered ""walls.""";279;TED2007;Anand Agarawala;Interaction designer;['demo', 'interface design', 'software', 'technology']
220;In our hyperlinked world, we can know anything, anytime. And this mass enlightenment, says Buddhist scholar Bob Thurman, is our first step toward Buddha nature.;726;TEDSalon 2006;Robert Thurman;Buddhist scholar;We can be Buddhas
14;In this emotionally charged conversation with journalist Kurt Andersen, designer David Rockwell discusses the process of building a viewing platform at Ground Zero shortly after 9/11.;1477;TED2002;David Rockwell;Architect, experience designer;A memorial at Ground Zero
305;In this bracingly honest talk, international security strategist Thomas Barnett outlines a post-Cold War solution for the foundering U.S. military that is both sensible and breathtaking in its simplicity: Break it in two.;1402;TED2005;Thomas Barnett;Military strategist;Let's rethink America's military strategy
27;"The avant-garde string quartet Ethel performs the third movement from Phil Kline's four-part suite ""The Blue Room and Other Stories."" Searching melodic lines show off the deep, emotional musicality of these passionate players.";214;TED2006;Ethel;String quartet;"A string quartet plays ""Blue Room"""
22;Microsoft's Stephen Lawler gives a whirlwind tour of Virtual Earth, moving up, down and through its hyper-real cityscapes with dazzlingly fluidity, a remarkable feat that requires staggering amounts of data to bring into focus.;370;TED2007;Stephen Lawler;General manager of Microsoft's Virtual Earth;Tour Microsoft's Virtual Earth
261;Researcher Hans Rosling uses his cool data tools to show how countries are pulling themselves out of poverty. He demos Dollar Street, comparing households of varying income levels worldwide. Then he does something really amazing.;1137;TED2007;Hans Rosling;Global health expert;['Africa', 'Asia', 'Google', 'economics', 'global development', 'global issues', 'health', 'inequality', 'poverty', 'statistics', 'visualizations']
240;Bill Stone, a maverick cave explorer who has plumbed EarthвЂ™s deepest abysses, discusses his efforts to mine lunar ice for space fuel and to build an autonomous robot for studying JupiterвЂ™s moon Europa.;1063;TED2007;Bill Stone;Explorer, inventor and outer space dreamer;I'm going to the moon. Who's with me?
392;Starting with the simple tale of an ant, philosopher Dan Dennett unleashes a devastating salvo of ideas, making a powerful case for the existence of memes -- concepts that are literally alive.;926;TED2002;Dan Dennett;Philosopher, cognitive scientist;Dangerous memes
150;Alan Russell studies regenerative medicine -- a breakthrough way of thinking about disease and injury, using a process that can signal the body to rebuild itself.;1165;TED2006;Alan Russell;Medical futurist;The potential of regenerative medicine
145;Jonathan Harris wants to make sense of the emotional world of the Web. With deep compassion for the human condition, his projects troll the Internet to find out what we're all feeling and looking for.;1030;TED2007;Jonathan Harris;Artist, storyteller, Internet anthropologist;The Web's secret stories
136;Emily Oster re-examines the stats on AIDS in Africa from an economic perspective and reaches a stunning conclusion: Everything we know about the spread of HIV on the continent is wrong.;934;TED2007;Emily Oster;Assumption-busting economist;Flip your thinking on AIDS in Africa
126;In a friendly, high-speed presentation, Will Wright demos his newest game, Spore, which promises to dazzle users even more than his previous masterpieces.;997;TED2007;Will Wright;Game designer;Spore, birth of a game
276;Poet Rives does 8 minutes of lyrical origami, folding history into a series of coincidences surrounding that most surreal of hours, 4 o'clock in the morning.;552;TED2007;Rives;Performance poet, multimedia artist;The  4 a.m. mystery
231;Medical animator David Bolinsky presents 3 minutes of stunning animation that show the bustling life inside a cell.;585;TED2007;David Bolinsky;Medical animator;Visualizing the wonder of a living cell
